FEN,Response Move
1k1r3r/pp6/2np1p2/8/3pP1pP/3P4/PPRK2PB/2R5 b - - 7 23,h8g8
1k1r3r/ppp1R1pp/3p1p1n/8/2B5/5KP1/PPP2P1P/R1B5 b - - 0 18,h8e8
1k1r4/1p2R2p/p1p5/8/5P2/2QB2P1/qPPK3P/8 w - - 0 26,c3e5
1k1r4/1p2n3/1b1q4/pPp1p3/P1PpPP2/BN1P1Q2/3R1PrP/4R2K b - - 0 34,d8g8
1k1r4/1p3ppp/N7/2r3PP/P7/4KP1b/8/R7 b - - 0 33,b7a6
1k1r4/1pN2ppp/p7/r1R3PP/P7/4KP1b/8/R7 b - - 1 32,a5c5
1k1r4/1pR5/pP3q2/2K1n3/P2pP3/8/8/8 b - - 17 52,f6f5
1k1r4/1pR5/pP6/P1K1nq2/3pP3/8/8/8 b - - 0 53,f5f8
1k1r4/1pp2Qpp/p7/q7/5P2/3B2P1/PPP4P/3KR3 w - - 0 22,f7g7
1k1r4/1pp3Qp/p7/8/5P2/3B2P1/qPP4P/3KR3 w - - 0 23,g7c3
1k1r4/1pp4p/p7/8/5P2/2QB2P1/1PP4P/1q1KR3 w - - 2 24,d1d2
1k1r4/1pp4p/p7/8/5P2/2QB2P1/qPPK3P/4R3 w - - 4 25,e1e7
1k1r4/5ppp/p7/2r3PP/P7/4KP1b/8/1R6 b - - 1 34,b8c7
1k1r4/pp3R2/4Q1P1/8/2p1P3/P1P5/1P6/2K5 w - - 5 47,g6g7
1k1r4/pp3ppp/4b3/rN4PP/P7/4KP1B/8/R1R5 b - - 6 30,e6h3
1k1r4/pp3ppp/8/2rb2PP/P2N4/5P1B/3K4/R1R5 b - - 2 28,c5a5
1k1r4/pp3ppp/8/rN1b2PP/P7/5P1B/3K4/R1R5 b - - 4 29,d5e6
1k1r4/pp3ppp/8/rNR3PP/P7/4KP1b/8/R7 b - - 1 31,a7a6
1k1r4/pp6/2np1R2/7r/3pP3/3P2p1/PPRK2P1/6B1 b - - 0 27,h5h1
1k1r4/pp6/2np4/8/3pP3/3P2p1/PPRK2P1/5RBr b - - 2 28,d8e8
1k1r4/ppp2Qpp/8/q7/5P2/3B2P1/PPP4P/3Kr2R w - - 0 21,h1e1
1k1r4/ppp5/2r5/1K3B2/5PR1/8/PPP2P1P/R1B5 b - - 4 30,d8d5
1k1r4/ppp5/4Q1B1/2q3pp/8/2P4P/PP4P1/1K1R4 b - - 0 24,d8d1
1k1r4/ppp5/4Q1B1/2qr2pp/8/2P4P/PP4P1/1K1R3R b - - 2 23,d5d1
1k1r4/ppp5/4Q3/2q3pB/8/2P4P/PPK3P1/8 b - - 0 26,c5f2
1k1r4/ppp5/7r/5B2/2K2PR1/8/PPP2P1P/R1B5 b - - 2 29,h6c6
1k1r4/ppp5/8/2q3p1/8/P1P2B1P/1P2Q1P1/K7 b - - 0 32,c5f8
1k1r4/ppp5/8/3q2p1/8/2P2B1P/PP2Q1P1/K7 b - - 10 31,d5c5
1k1r4/ppp5/8/5qpB/8/2P4P/PP2Q1P1/2K5 b - - 4 28,f5f4
1k1r4/ppp5/8/5qpB/8/2P4P/PP2Q1P1/K7 b - - 8 30,f5d5
1k1r4/ppp5/8/6pB/5q2/2P4P/PP2Q1P1/1K6 b - - 6 29,f4f5
1k1r4/ppp5/8/6pB/8/2P4P/PPK1QqP1/8 b - - 2 27,f2f5
1k1rr3/6pp/1Q3p2/4Nb2/4nP2/8/PPP3PP/R4RK1 b - - 0 20,b8a8
1k1rr3/ppp2Qpp/8/q7/5P2/3B2P1/PPPK3P/4R2R w - - 1 20,d2d1
1k1rr3/ppp2ppp/8/2q2Q2/5P2/3B2P1/PPPK3P/4R2R w - - 3 19,f5f7
1k1rr3/ppp3Rp/3p1p1n/8/2B5/5KP1/PPP2P1P/R1B5 b - - 0 19,f6f5
1k1rr3/ppp4R/3p3n/5p2/2B5/5KP1/PPP2P1P/R1B5 b - - 0 20,e8f8
1k2R3/1b6/pb5n/1p6/5r1P/2R5/P1P3p1/4K3 b - - 1 33,b8a7
1k2r3/2pq1p1p/1bn1bBp1/1B1Pp3/1P6/2PP1Q1P/5PP1/RN2K1NR b KQ - 0 18,e6d5
1k2r3/2pq1p1p/1bn2Bp1/1B1bp3/1P6/2PP3P/5PP1/RN1QK1NR b KQ - 1 19,d5g2
